file,tag,android:id,android:text,android:hint,android:inputType,android:contentDescription,android:checked,android:enabled,android:maxLength,android:autofillHints
res/layout/activity_mistakes_practice.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A1082,@7F1309B6,,,,,,,
res/layout/activity_monthly_challenge_intro.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0CE3,@7F130164,,,,,,,
res/layout/activity_notification_opt_in_banner_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A132C,@7F1303EF,,,,,,,
res/layout/activity_notification_opt_in_banner_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0E50,@7F1303ED,,,,,,,
res/layout/activity_onboarding_dogfooding.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A1094,@7F130BCE,,,,,,,
res/layout/activity_placement_fallback.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A03F1,@7F130164,,,,,false,,
res/layout/activity_plus.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A08DE,@7F13089C,,,,,,,
res/layout/activity_plus.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0A71,@7F13057E,,,,,,,
res/layout/activity_plus.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0F6E,@7F130ED7,,,,,,,
res/layout/activity_plus.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0254,@7F130178,,,,,,,
res/layout/activity_plus_cancel_survey.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0265,@7F130164,,,,,false,,
res/layout/activity_plus_onboarding_slides.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0CE3,,,,,,,,
res/layout/activity_plus_onboarding_slides.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0F38,,,,,,,,
res/layout/activity_plus_promo_video.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0CAE,@7F1311A6,,,,,,,
res/layout/activity_plus_turn_on_notifications.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A03F1,@7F131233,,,,,,,
res/layout/activity_plus_turn_on_notifications.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0BDA,@7F130B8C,,,,,,,
res/layout/activity_preview_animation_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,,,,,,,,,
res/layout/activity_promo_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0430,@7F130053,,,,false,,,
res/layout/activity_promo_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A042E,@7F130053,,,,false,,,
res/layout/activity_promo_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A042F,@7F130053,,,,false,,,
res/layout/activity_promo_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A042C,@7F130053,,,,false,,,
res/layout/activity_promo_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A042D,@7F130053,,,,false,,,
res/layout/activity_reactivated_welcome.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0CE3,@7F130FE0,,,,,,,
res/layout/activity_report.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0E05,@7F13005F,,,,,,,
res/layout/activity_reset_password.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0E50,@7F130DA7,,,,,,,
res/layout/activity_resurrection_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A0532,@7F13041F,,,,,,,
res/layout/activity_rewards_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A03D5,@7F130DD1,,,,,,,
res/layout/activity_rewards_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A03D4,@7F130DD0,,,,,,,
res/layout/activity_rewards_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A03D2,@7F130DCE,,,,,,,
res/layout/activity_rewards_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A03D3,@7F130DCF,,,,,,,
res/layout/activity_rewards_debug.xml,com.duolingo.core.design.juicy.ui.JuicyButton,@7F0A03D6,@7F130DD2,,,,,,,
